objectid,koleksiyon,muellif_adi,eser_adi,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,tematik_kapsam,yazin_turu,title,date,format,arastirmaci,sayfa_no_babinger,padisah_donemi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazi_turu,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,notlar,arastirmaci_notu,muellif_id,meslek,aile,dogum_sehir,dogum_yer_detay,olum_yil,olum_yil_hicri,kabir_sehir,kabir_ilce,kabir_yeri_detay,eser_turu,kutuphane_kanonik,kutuphane_tipi,kutuphane_detay,sayfa_no_tuba
babinger_0001,Babinger,Yahşi Fakîh,Menâkıb-i âl-i Osmân ta Yıldırım Hana Gelince,,,,1389'a kadar geçen vakaları anlattığı tahmin edilmektedir.,,Yahşi Fakîh,,record,Ahmed Said Sözen,11,,1414,,,,,,,,,,,,,,,,,,,,,...1389 (I. Murad'ın ölümü),Bilinen en eski Osmanlı tarih yazarıdır. Aşıkpaşazade hastalanarak evinde yattığında bir tanıdık olan olarak Yahşi Fakih'in babası olan İshak'tan bahsetmektedir. Yahşi'nin menâkıbnamesinden de açıkça bahseder. Bu anlamda bilinen en eski Osmanlı tarih yazarıdır.,,,,,,,,,,,,,,,,
babinger_0002,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Berlin Devlet Kütüphanesi,or. 8° 965,,52.5077560047923,13.3708612239915,Almanya,Berlin,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0003,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Berlin Devlet Kütüphanesi,or. 4° 1271,,52.5077560047923,13.3708612239915,Almanya,Berlin,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0004,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Gotha Kütüphanesi,Nu. 184,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0005,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Gotha Kütüphanesi,Nu. 185,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0006,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Gotha Kütüphanesi,Nu. 186,,50.9478847109003,10.7093788460301,Almanya,Gotha,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0007,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Münih Devlet Kütüphanesi,Nu. 174,,48.1476146646503,11.5803002393623,Almanya,Münih,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0008,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Paris Milli Kütüphanesi,Nu. 309,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0009,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Paris Milli Kütüphanesi,Nu. 310,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
babinger_0010,Babinger,Ahmedî,İskendernâme,,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Manzum,Ahmedî,1410,record,Ahmed Said Sözen,12_13,I. Bayezid,1413,,813,1390-1410,1410,,,,,,,,,Paris Milli Kütüphanesi,Nu. 311,,48.8339332273818,2.37579298412067,Fransa,Paris,,,Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,,,,,,,,,,,,,,
